,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
30,47.434963,45.58577,19.548588,99.16098,29.541246,44.23231
31,47.42816,45.61171,19.54043,99.1214,29.643278,44.230354
32,47.454357,45.65978,19.490686,99.05662,29.645103,44.27417
33,47.484016,45.640003,19.50682,99.115776,29.66588,44.257935
34,47.51362,45.634083,19.490501,99.067696,29.693996,44.243168
35,47.502415,45.648605,19.465656,99.10012,29.69242,44.247063
36,47.573414,45.6059,19.447836,99.12775,29.68946,44.176037
37,47.559254,45.62494,19.435843,99.0302,29.690868,44.253494
38,47.60663,45.595642,19.44923,99.090485,29.684786,44.275116
39,47.605934,45.594868,19.45846,99.11753,29.680069,44.280426
40,47.64365,45.59336,19.473433,99.06687,29.649412,44.250217
41,47.599922,45.592785,19.46385,98.88881,29.625517,44.331566
42,47.643635,45.574104,19.471628,98.958954,29.62857,44.37872
43,47.6999,45.563316,19.476393,98.97066,29.585491,44.39332
44,47.676506,45.5852,19.459219,99.05811,29.56713,44.484535
45,47.67998,45.58223,19.464567,99.072495,29.566166,44.540493
46,47.646835,45.581802,19.45283,99.08485,29.55115,44.55843
47,47.667194,45.599346,19.443466,99.06247,29.54834,44.601128
48,47.578045,45.621857,19.429293,99.021736,29.52658,44.61413
49,47.554276,45.67413,19.403732,99.16477,29.52177,44.604496
50,47.558094,45.724754,19.380602,99.08526,29.52651,44.65104
51,47.54523,45.720654,19.371668,99.0262,29.574991,44.64404
52,47.574062,45.754463,19.359463,99.047585,29.580414,44.65199
53,47.556816,45.816418,19.340992,98.97,29.594822,44.630833
54,47.50771,45.908016,19.31463,98.99025,29.597475,44.619186
55,47.49316,45.775505,19.31049,99.003395,29.628017,44.61184
56,47.42628,45.87705,19.282543,99.0232,29.671177,44.63079
57,47.42465,45.979996,19.281004,99.05235,29.69273,44.63452
58,47.40827,46.021145,19.259996,98.91927,29.73718,44.608196
59,47.172115,46.260315,19.257885,98.96878,29.769428,44.597298
60,47.241993,46.110886,19.286184,98.96036,29.784777,44.63282
61,47.297703,46.021694,19.313688,98.914536,29.817883,44.6532
62,47.357204,45.960007,19.334154,98.960434,29.816586,44.63575
63,47.333508,45.90368,19.359875,98.89473,29.833677,44.639385
64,47.334908,45.897278,19.369154,98.81748,29.88097,44.618393
65,47.37705,45.85565,19.397245,98.81804,29.876883,44.593536
66,47.35287,45.848213,19.395477,98.94851,29.869614,44.565918
67,47.355606,45.889393,19.406591,98.80573,29.846449,44.588806
68,47.33928,45.925915,19.394592,98.76185,29.85036,44.550606
69,47.349056,45.920483,19.37949,98.69832,29.83433,44.557053
70,47.379597,45.938595,19.379284,98.792656,29.82956,44.576744
71,47.3968,45.924572,19.368908,98.71291,29.833271,44.580395
72,47.445408,45.956913,19.361954,98.699844,29.838192,44.595005
